====== 1982 相较于 1981 ======

改名的：
362431 <> 南城县 > 莲花县
362500 <> 吉安地区 > 抚州地区
362501 <> 吉安市 > 抚州市
362521 <> 吉安县 > 临川县
362522 <> 万安县 > 南城县
362523 <> 新干县 > 黎川县
362524 <> 遂川县 > 南丰县
362525 <> 峡江县 > 崇仁县
362526 <> 宁冈县 > 乐安县
362527 <> 吉水县 > 宜黄县
362528 <> 永新县 > 金溪县
362529 <> 永丰县 > 资溪县
362530 <> 莲花县 > 进贤县
362531 <> 泰和县 > 东乡县
362600 <> 赣州地区 > 九江地区
362621 <> 广昌县 > 九江县
362622 <> 定南县 > 瑞昌县
362623 <> 石城县 > 武宁县
362624 <> 龙南县 > 修水县
362625 <> 宁都县 > 永修县
362626 <> 全南县 > 德安县
362627 <> 兴国县 > 星子县
362628 <> 信丰县 > 都昌县
362629 <> 于都县 > 湖口县
362630 <> 赣县 > 彭泽县
372521 <> 阳谷县 > 聊城县
372522 <> 莘县 > 阳谷县
372523 <> 茌平县 > 莘县
372524 <> 东阿县 > 茌平县
372525 <> 冠县 > 东阿县
372526 <> 高唐县 > 冠县
372527 <> 临清县 > 高唐县
372528 <> 聊城县 > 临清县
372621 <> 泰安县 > 莱芜县
372622 <> 莱芜县 > 新泰县
410600 <> 焦作市 > 鹤壁市
410602 <> 解放区 > 鹤山区
410603 <> 中站区 > 山城区
412426 <> 新郑县 > 巩县
412427 <> 巩县 > 登封县
412428 <> 登封县 > 新郑县
430300 <> 湘潭市 > 邵阳市
430302 <> 雨湖区 > 东区
430303 <> 湘江区 > 西区
430304 <> 岳塘区 > 桥头区
430400 <> 衡阳市 > 湘潭市
430402 <> 江东区 > 雨湖区
430403 <> 城南区 > 湘江区
430404 <> 城北区 > 岳塘区
430500 <> 邵阳市 > 衡阳市
430502 <> 东区 > 江东区
430503 <> 西区 > 城南区
430504 <> 桥头区 > 城北区
432500 <> 涟源地区 > 娄底地区
433001 <> 洪江市 > 怀化市
433002 <> 怀化市 > 洪江市
442621 <> 始兴县 > 三水县
442622 <> 南雄县 > 南海县
442623 <> 仁化县 > 顺德县
442624 <> 乐昌县 > 中山县
442625 <> 连县 > 斗门县
442626 <> 阳山县 > 新会县
442627 <> 英德县 > 台山县
442628 <> 清远县 > 恩平县
442629 <> 佛冈县 > 开平县
442631 <> 连山壮族瑶族自治县 > 鹤山县
442632 <> 连南瑶族自治县 > 高明县
510411 <> 郊区 > 仁和区
512100 <> 温江地区 > 永川地区
512121 <> 温江县 > 江津县
512122 <> 郫县 > 合川县
512123 <> 灌县 > 潼南县
512124 <> 彭县 > 铜梁县
512125 <> 什邡县 > 永川县
512126 <> 广汉县 > 大足县
512127 <> 新都县 > 荣昌县
512128 <> 新津县 > 璧山县
512200 <> 绵阳地区 > 万县地区
512201 <> 绵阳市 > 万县市
512221 <> 江油县 > 万县
512222 <> 青川县 > 开县
512223 <> 平武县 > 忠县
512224 <> 广元县 > 梁平县
512225 <> 旺苍县 > 云阳县
512226 <> 剑阁县 > 奉节县
512227 <> 梓潼县 > 巫山县
512228 <> 三台县 > 巫溪县
512229 <> 盐亭县 > 城口县
512300 <> 内江地区 > 涪陵地区
512321 <> 内江县 > 涪陵县
512322 <> 乐至县 > 垫江县
512323 <> 安岳县 > 南川县
512324 <> 威远县 > 丰都县
512325 <> 资中县 > 石柱县
512326 <> 资阳县 > 武隆县
512327 <> 简阳县 > 彭水县
512400 <> 宜宾地区 > 内江地区
512401 <> 宜宾市 > 内江市
512421 <> 宜宾县 > 内江县
512422 <> 富顺县 > 资中县
512423 <> 隆昌县 > 资阳县
512424 <> 南溪县 > 简阳县
512425 <> 江安县 > 威远县
512426 <> 纳溪县 > 隆昌县
512427 <> 泸县 > 安岳县
512428 <> 合江县 > 乐至县
512500 <> 乐山地区 > 宜宾地区
512501 <> 乐山市 > 宜宾市
512521 <> 夹江县 > 泸县
512522 <> 洪雅县 > 富顺县
512523 <> 丹棱县 > 合江县
512524 <> 青神县 > 纳溪县
512525 <> 眉山县 > 叙永县
512526 <> 彭山县 > 古蔺县
512527 <> 井研县 > 宜宾县
512528 <> 仁寿县 > 南溪县
512529 <> 犍为县 > 江安县
512530 <> 沐川县 > 长宁县
512531 <> 峨眉县 > 高县
512532 <> 金口河工农区 > 筠连县
512533 <> 峨边县 > 珙县
512534 <> 马边县 > 兴文县
512600 <> 永川地区 > 乐山地区
512621 <> 永川县 > 仁寿县
512622 <> 大足县 > 眉山县
512623 <> 铜梁县 > 犍为县
512624 <> 合川县 > 井研县
512625 <> 潼南县 > 峨眉县
512626 <> 璧山县 > 夹江县
512627 <> 江津县 > 洪雅县
512628 <> 荣昌县 > 彭山县
512700 <> 涪陵地区 > 温江地区
512721 <> 涪陵县 > 温江县
512722 <> 垫江县 > 郫县
512723 <> 丰都县 > 新都县
512724 <> 石柱县 > 广汉县
512725 <> 秀山县 > 什邡县
512726 <> 酉阳县 > 彭县
512727 <> 黔江县 > 灌县
512728 <> 彭水县 > 崇庆县
512729 <> 武隆县 > 大邑县
512730 <> 南川县 > 邛崃县
512800 <> 万县地区 > 绵阳地区
512801 <> 万县市 > 绵阳市
512821 <> 万县 > 德阳县
512822 <> 开县 > 绵竹县
512823 <> 城口县 > 安县
512824 <> 巫溪县 > 江油县
512825 <> 巫山县 > 梓潼县
512826 <> 奉节县 > 剑阁县
512827 <> 云阳县 > 广元县
512828 <> 忠县 > 旺苍县
512829 <> 梁平县 > 青川县
512922 <> 苍溪县 > 南部县
512923 <> 阆中县 > 岳池县
512924 <> 仪陇县 > 营山县
512925 <> 南部县 > 广安县
512926 <> 西充县 > 蓬安县
512927 <> 营山县 > 仪陇县
512928 <> 蓬安县 > 武胜县
512929 <> 广安县 > 西充县
512930 <> 岳池县 > 阆中县
512931 <> 武胜县 > 苍溪县
513022 <> 万源县 > 宣汉县
513023 <> 宣汉县 > 开江县
513024 <> 开江县 > 万源县
513025 <> 邻水县 > 通江县
513026 <> 大竹县 > 南江县
513027 <> 渠县 > 巴中县
513028 <> 南江县 > 平昌县
513029 <> 巴中县 > 大竹县
513030 <> 平昌县 > 渠县
513031 <> 通江县 > 邻水县
513122 <> 芦山县 > 名山县
513123 <> 名山县 > 荥经县
513124 <> 荥经县 > 汉源县
513125 <> 汉源县 > 石棉县
513126 <> 石棉县 > 天全县
513127 <> 天全县 > 芦山县
513221 <> 马尔康县 > 汶川县
513222 <> 红原县 > 理县
513223 <> 阿坝县 > 茂汶羌族自治县
513224 <> 若尔盖县 > 松潘县
513225 <> 黑水县 > 南坪县
513226 <> 松潘县 > 金川县
513227 <> 南坪县 > 小金县
513228 <> 茂汶羌族自治县 > 黑水县
513229 <> 汶川县 > 马尔康县
513230 <> 理县 > 壤塘县
513231 <> 小金县 > 阿坝县
513232 <> 金川县 > 若尔盖县
513233 <> 壤塘县 > 红原县
513322 <> 炉霍县 > 泸定县
513323 <> 甘孜县 > 丹巴县
513324 <> 新龙县 > 九龙县
513325 <> 白玉县 > 雅江县
513326 <> 德格县 > 道孚县
